CustomerID,Age,Income,Account_Tenure,Transactions_Per_Month,Digital_Usage,Avg_Balance,Credit_Score,Branch_Visits,Complaints_Filed,Products_Held,Churn_Type,Recommended_Action,Action_Success
CUST00001,59,100000,15,12,6,50000,771,3,0,3,Competitor-Driven,Provide loyalty rewards,1
CUST00002,44,100000,5,6,9,100000,687,2,0,1,Competitor-Driven,Offer better interest rates,1
CUST00003,42,25000,9,31,4,25000,837,3,0,4,Competitor-Driven,Provide loyalty rewards,1
CUST00004,57,60000,5,13,8,10000,738,4,0,2,Competitor-Driven,Offer better interest rates,1
CUST00005,22,100000,15,11,5,25000,824,3,2,4,Competitor-Driven,Provide loyalty rewards,1
CUST00006,22,40000,6,8,7,10000,795,2,0,2,Competitor-Driven,Provide loyalty rewards,0
CUST00007,51,150000,8,18,8,50000,839,5,0,2,Competitor-Driven,Offer better interest rates,0
CUST00008,46,250000,12,33,8,10000,738,1,1,4,Competitor-Driven,Provide loyalty rewards,1
CUST00009,31,25000,8,39,4,100000,654,2,0,1,Competitor-Driven,Provide loyalty rewards,0
CUST00010,28,40000,1,27,7,25000,748,4,0,3,Competitor-Driven,Offer better interest rates,1
CUST00011,57,250000,3,5,6,50000,791,3,0,3,Competitor-Driven,Provide loyalty rewards,1
CUST00012,33,40000,7,36,5,300000,800,5,0,1,Competitor-Driven,Provide loyalty rewards,0
CUST00013,27,40000,6,32,3,50000,711,1,0,4,Competitor-Driven,Provide loyalty rewards,1
CUST00014,40,150000,11,32,2,25000,778,1,0,1,Competitor-Driven,Provide loyalty rewards,1
CUST00015,23,25000,8,31,2,25000,700,2,0,3,Competitor-Driven,Offer better interest rates,1
CUST00016,52,60000,4,16,7,50000,780,1,0,4,Competitor-Driven,Offer better interest rates,1
CUST00017,22,60000,6,27,6,25000,778,3,0,1,Competitor-Driven,Provide loyalty rewards,1
CUST00018,26,40000,4,15,9,25000,687,5,0,2,Competitor-Driven,Provide loyalty rewards,1
CUST00019,36,100000,12,10,9,10000,797,4,0,3,Competitor-Driven,Provide loyalty rewards,1
CUST00020,39,40000,7,37,9,25000,731,1,0,1,Competitor-Driven,Offer better interest rates,1
CUST00021,51,150000,3,11,5,10000,761,1,0,1,Competitor-Driven,Provide loyalty rewards,0
CUST00022,32,60000,11,13,2,25000,697,3,1,2,Competitor-Driven,Provide loyalty rewards,0
CUST00023,31,150000,4,24,7,10000,748,1,0,4,Competitor-Driven,Provide loyalty rewards,1
CUST00024,55,100000,9,37,5,25000,670,4,0,4,Competitor-Driven,Offer better interest rates,0
CUST00025,53,60000,11,26,8,25000,807,5,0,4,Competitor-Driven,Offer better interest rates,1
CUST00026,41,60000,12,37,6,25000,697,3,0,4,Competitor-Driven,Offer better interest rates,1
CUST00027,48,60000,14,10,4,100000,686,5,0,1,Competitor-Driven,Offer better interest rates,0
CUST00028,53,25000,13,25,9,300000,716,2,0,3,Competitor-Driven,Provide loyalty rewards,1
CUST00029,44,40000,15,26,8,10000,804,2,1,1,Competitor-Driven,Provide loyalty rewards,1
CUST00030,59,40000,7,30,4,25000,801,5,0,3,Competitor-Driven,Offer better interest rates,1
CUST00031,40,60000,14,20,7,300000,792,4,0,4,Competitor-Driven,Offer better interest rates,1
CUST00032,45,25000,14,26,3,300000,698,4,0,3,Competitor-Driven,Provide loyalty rewards,1
CUST00033,57,60000,5,9,8,10000,758,4,0,3,Competitor-Driven,Offer better interest rates,1
CUST00034,36,250000,12,34,4,100000,712,3,0,3,Competitor-Driven,Provide loyalty rewards,1
CUST00035,43,40000,12,5,3,300000,683,1,0,1,Competitor-Driven,Offer better interest rates,0
CUST00036,59,100000,5,26,6,25000,725,2,0,1,Competitor-Driven,Provide loyalty rewards,1
CUST00037,34,25000,15,34,7,700000,846,4,0,2,Competitor-Driven,Provide loyalty rewards,0
CUST00038,56,25000,14,27,3,50000,718,4,0,3,Competitor-Driven,Provide loyalty rewards,1
CUST00039,52,150000,5,8,9,10000,651,1,1,4,Competitor-Driven,Offer better interest rates,0
CUST00040,32,40000,12,37,2,100000,820,5,0,1,Competitor-Driven,Offer better interest rates,1
CUST00041,49,25000,15,6,6,10000,684,1,0,1,Competitor-Driven,Provide loyalty rewards,1
CUST00042,54,40000,7,8,3,50000,724,5,0,1,Competitor-Driven,Offer better interest rates,0
CUST00043,56,25000,9,28,9,50000,748,4,0,3,Competitor-Driven,Provide loyalty rewards,1
CUST00044,52,150000,1,17,8,100000,754,1,0,4,Competitor-Driven,Provide loyalty rewards,1
CUST00045,33,150000,1,16,6,300000,725,1,0,2,Competitor-Driven,Offer better interest rates,0
CUST00046,39,60000,5,9,4,50000,829,3,0,1,Competitor-Driven,Offer better interest rates,0
CUST00047,59,25000,10,18,8,10000,812,5,0,2,Competitor-Driven,Offer better interest rates,1
CUST00048,30,100000,1,11,7,100000,819,1,1,2,Competitor-Driven,Provide loyalty rewards,1
CUST00049,57,40000,8,5,7,100000,720,1,0,4,Competitor-Driven,Provide loyalty rewards,0
CUST00050,39,100000,6,31,3,300000,688,3,0,2,Competitor-Driven,Provide loyalty rewards,1
CUST00051,40,25000,13,5,4,50000,839,1,0,1,Competitor-Driven,Offer better interest rates,0
CUST00052,58,40000,10,36,6,10000,798,5,2,1,Competitor-Driven,Provide loyalty rewards,1
CUST00053,40,25000,15,18,8,25000,766,3,2,1,Competitor-Driven,Offer better interest rates,1
CUST00054,52,25000,6,16,9,50000,657,2,0,2,Competitor-Driven,Provide loyalty rewards,1
CUST00055,48,25000,9,31,7,10000,810,5,1,4,Competitor-Driven,Provide loyalty rewards,1
CUST00056,55,100000,2,9,8,300000,659,2,0,1,Competitor-Driven,Offer better interest rates,1
CUST00057,21,60000,15,15,6,100000,735,3,1,1,Competitor-Driven,Offer better interest rates,1
CUST00058,55,25000,5,10,5,100000,744,5,2,1,Competitor-Driven,Offer better interest rates,0
CUST00059,57,100000,3,21,6,25000,759,1,2,1,Competitor-Driven,Provide loyalty rewards,1
CUST00060,52,25000,15,12,8,50000,811,3,0,4,Competitor-Driven,Offer better interest rates,1
CUST00061,25,25000,11,21,9,25000,800,5,0,2,Competitor-Driven,Offer better interest rates,1
CUST00062,58,60000,2,38,3,25000,740,3,2,4,Competitor-Driven,Offer better interest rates,1
CUST00063,44,150000,14,21,6,100000,787,1,0,4,Competitor-Driven,Provide loyalty rewards,1
CUST00064,54,60000,2,17,7,50000,764,1,0,4,Competitor-Driven,Offer better interest rates,1
CUST00065,36,60000,8,8,9,25000,745,3,0,4,Competitor-Driven,Provide loyalty rewards,1
CUST00066,39,100000,2,32,3,10000,798,1,0,4,Competitor-Driven,Provide loyalty rewards,0
CUST00067,34,40000,11,13,3,100000,770,3,2,1,Competitor-Driven,Offer better interest rates,1
CUST00068,21,25000,3,19,8,25000,663,2,1,2,Competitor-Driven,Provide loyalty rewards,0
CUST00069,46,25000,8,11,4,300000,756,4,0,2,Competitor-Driven,Provide loyalty rewards,1
CUST00070,35,25000,7,32,3,50000,666,2,0,1,Competitor-Driven,Offer better interest rates,1
CUST00071,45,100000,3,22,8,50000,683,1,0,2,Competitor-Driven,Offer better interest rates,1
CUST00072,46,60000,11,10,6,300000,830,5,0,3,Competitor-Driven,Provide loyalty rewards,1
CUST00073,31,25000,14,35,9,300000,780,3,0,1,Competitor-Driven,Provide loyalty rewards,0
CUST00074,26,40000,12,15,5,10000,767,1,0,2,Competitor-Driven,Offer better interest rates,0
CUST00075,22,60000,8,30,4,100000,782,2,0,3,Competitor-Driven,Provide loyalty rewards,1
CUST00076,32,25000,10,18,9,10000,775,3,2,1,Competitor-Driven,Offer better interest rates,1
CUST00077,26,40000,10,9,8,50000,779,5,0,4,Competitor-Driven,Offer better interest rates,1
CUST00078,29,100000,11,19,9,50000,812,1,1,4,Competitor-Driven,Provide loyalty rewards,1
CUST00079,31,150000,12,39,4,300000,713,4,1,4,Competitor-Driven,Offer better interest rates,0
CUST00080,34,100000,3,25,6,100000,772,2,2,1,Competitor-Driven,Offer better interest rates,1
CUST00081,38,100000,7,18,9,25000,815,1,1,3,Competitor-Driven,Offer better interest rates,1
CUST00082,53,40000,2,18,6,300000,828,3,0,3,Competitor-Driven,Offer better interest rates,0
CUST00083,35,150000,1,34,8,50000,806,1,0,1,Competitor-Driven,Offer better interest rates,0
CUST00084,24,60000,10,9,4,100000,767,5,0,4,Competitor-Driven,Offer better interest rates,1
CUST00085,35,100000,5,33,8,25000,822,2,0,3,Competitor-Driven,Offer better interest rates,1
CUST00086,46,40000,5,24,4,700000,753,2,2,4,Competitor-Driven,Provide loyalty rewards,1
CUST00087,38,60000,15,16,5,50000,717,5,2,4,Competitor-Driven,Offer better interest rates,1
CUST00088,48,40000,9,33,7,300000,660,1,0,1,Competitor-Driven,Provide loyalty rewards,0
CUST00089,43,150000,15,19,6,25000,702,1,0,1,Competitor-Driven,Offer better interest rates,1
