stu_id,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
1,b,30.83,0,u,g,w,v,1.25,t,t,1,f,g,202,0
2,b,27.83,1.54,u,g,w,v,3.75,t,t,5,t,g,100,3
3,b,20.17,5.625,u,g,w,v,1.71,t,f,0,f,s,120,0
4,b,32.08,4,u,g,m,v,2.5,t,f,0,t,g,360,0
5,b,54.42,0.5,y,p,k,h,3.96,t,f,0,f,g,180,314
6,b,22.08,0.83,u,g,c,h,2.165,f,f,0,t,g,128,0
7,b,29.92,1.835,u,g,c,h,4.335,t,f,0,f,g,260,200
8,a,38.25,6,u,g,k,v,1,t,f,0,t,g,0,0
9,b,28.25,0.875,u,g,m,v,0.96,t,t,3,t,g,396,0
10,b,32.33,7.5,u,g,e,bb,1.585,t,f,0,t,s,420,0
11,b,44.83,7,y,p,c,v,1.625,f,f,0,f,g,160,2
12,b,20.67,5.29,u,g,q,v,0.375,t,t,1,f,g,160,0
13,b,34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,443,0
14,a,19.17,0.585,y,p,aa,v,0.585,t,f,0,t,g,160,0
15,b,21.67,1.165,y,p,k,v,2.5,t,t,1,f,g,180,20
16,b,21.5,9.75,u,g,c,v,0.25,t,f,0,f,g,140,0
17,a,27.67,1.5,u,g,m,v,2,t,f,0,f,s,368,0
18,b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,288,0
19,a,28.46,3.5,u,g,d,v,3,t,f,0,t,g,300,0
